"","p4","p26","p3_4","p8_1","p19","p32","edad"
"493",0,0,2,0,0,3,51
"494",0,30,2,0,0,0,65
"495",0,0,2,0,0,2,37
"496",0,0,2,0,0,5,73
"497",0,0,2,0,0,1,66
"498",2,35,2,2,0,0,28
"499",0,20,2,0,2,0,48
"500",1,30,2,2,0,0,19
"501",1,25,2,2,2,0,69
"502",0,0,2,0,0,5,77
"503",0,0,2,0,0,3,61
"504",0,20,2,0,3,0,55
"505",0,25,2,0,0,0,54
"506",0,0,2,0,0,1,70
"507",0,20,2,0,2,0,49
"508",2,40,2,1,3,0,52
"509",2,30,2,2,0,0,39
"510",2,30,2,2,0,0,51
"511",2,40,2,2,3,0,75
"512",1,30,2,2,0,0,61
"513",1,35,2,2,2,0,21
"514",5,60,2,2,0,0,68
"515",1,30,2,2,0,0,77
"516",2,60,2,2,0,0,44
"517",0,20,2,0,0,0,39
"518",1,30,2,2,0,0,75
"519",1,30,2,2,0,0,52
"520",0,20,2,0,0,0,39
"521",0,20,2,0,3,0,57
"522",0,0,2,0,0,1,51
"523",0,10,2,0,3,0,53
"524",0,0,2,0,0,3,60
"525",0,20,2,0,2,0,51
"526",2,30,2,2,3,0,35
"527",0,0,2,0,0,1,59
"528",0,25,2,0,0,0,59
"529",3,90,2,2,0,0,31
"530",0,25,2,0,0,0,48
"531",0,0,2,0,0,1,75
"532",4,90,2,2,0,0,47
"533",0,45,2,0,0,0,40
"534",0,20,2,0,3,0,46
"535",0,30,2,0,0,0,53
"536",0,30,2,0,0,0,40
"537",0,20,2,0,0,0,55
"538",0,30,2,0,0,0,30
"539",0,0,2,0,0,5,82
"540",0,30,2,0,0,0,41
"541",0,0,2,0,0,3,43
"542",0,30,2,0,0,0,40
"543",0,0,2,0,0,5,53
"544",0,0,2,0,0,2,40
"545",2,45,2,2,0,0,27
"546",0,20,2,0,0,0,50
"547",2,40,2,2,0,0,26
"548",0,0,2,0,0,3,26
"549",0,25,2,0,3,0,25
"550",0,20,2,0,0,0,42
"551",0,20,2,0,0,0,76
"552",0,0,2,0,0,3,56
"553",0,60,2,0,0,0,22
"554",0,15,2,0,3,0,20
"555",0,15,2,0,3,0,26
"556",0,20,2,0,3,0,65
"557",0,0,2,0,0,3,19
"558",0,0,2,0,0,3,52
"559",0,0,2,0,0,5,90
"560",0,30,2,0,2,0,59
"561",0,20,2,0,0,0,30
"562",0,25,2,0,3,0,67
"563",0,35,2,0,0,0,35
"564",0,25,2,0,3,0,21
"565",0,0,2,0,0,3,32
"566",1,20,2,2,0,0,73
"567",1,40,2,2,0,0,40
"568",0,20,2,0,3,0,41
"569",0,0,2,0,0,2,48
"570",0,30,2,0,3,0,46
"571",0,15,2,0,3,0,18
"572",0,20,2,0,3,0,59
"573",0,0,2,0,0,3,32
