"","p4","p26","p3_1","p3_4","p8_1","p5","p32"
"401",2,40,1,2,2,2,0
"402",0,25,2,2,0,0,0
"403",0,20,2,2,0,0,0
"404",0,25,2,2,0,0,0
"405",0,0,2,2,0,0,3
"406",1,40,1,2,1,4,0
"407",0,30,2,2,0,0,0
"408",0,0,2,2,0,0,2
"409",0,30,2,2,0,0,0
"410",1,30,1,2,2,4,0
"411",6,30,1,2,2,2,0
"412",6,30,1,2,2,2,0
"413",0,20,2,2,0,0,0
"414",0,20,2,2,0,0,0
"415",0,0,2,2,0,0,3
"416",1,30,1,2,2,4,0
"417",0,20,2,2,0,0,0
"418",0,0,2,2,0,0,3
"419",0,20,2,2,0,0,0
"420",0,20,2,2,0,0,0
"421",0,0,2,2,0,0,1
"422",0,20,2,2,0,0,0
"423",0,15,2,2,0,0,0
"424",0,10,2,2,0,0,0
"425",1,60,1,2,1,1,0
"426",1,60,1,2,2,2,0
"427",1,60,1,2,2,4,0
"428",0,25,2,2,0,0,0
"429",0,15,2,2,0,0,0
"430",4,60,1,2,2,3,0
"431",5,90,1,2,1,2,0
"432",0,0,2,2,0,0,3
"433",0,0,2,2,0,0,3
"434",0,0,2,2,0,0,1
"435",0,0,2,2,0,0,3
"436",0,40,2,2,0,0,0
"437",1,50,1,2,2,3,0
"438",0,30,2,2,0,0,0
"439",1,60,1,2,1,3,0
"440",0,25,2,2,0,0,0
"441",0,0,2,2,0,0,5
"442",0,15,2,2,0,0,0
"443",0,15,2,2,0,0,0
"444",0,0,2,2,0,0,2
"445",0,0,2,2,0,0,3
"446",0,20,2,2,0,0,0
"447",0,0,2,2,0,0,2
"448",0,0,2,2,0,0,3
"449",0,15,2,2,0,0,0
"450",0,25,2,2,0,0,0
"451",0,30,2,2,0,0,0
"452",0,0,2,2,0,0,5
"453",1,15,1,2,2,4,0
"454",6,120,1,2,1,2,0
"455",0,20,2,2,0,0,0
"456",5,60,1,2,2,3,0
"457",0,25,2,2,0,0,0
"458",0,20,2,2,0,0,0
"459",0,0,2,2,0,0,3
"460",0,0,2,2,0,0,1
"461",0,0,2,2,0,0,3
"462",2,40,1,2,2,4,0
"463",0,20,2,2,0,0,0
"464",0,15,2,2,0,0,0
"465",0,10,2,2,0,0,0
"466",3,30,1,2,2,4,0
"467",6,120,1,2,1,4,0
"468",0,0,2,2,0,0,3
"469",2,120,1,2,1,4,0
"470",2,60,1,2,2,4,0
"471",5,60,1,2,2,2,0
"472",0,0,2,2,0,0,3
"473",1,40,1,2,2,4,0
"474",0,30,2,2,0,0,0
"475",0,0,2,2,0,0,1
"476",7,60,1,2,2,2,0
"477",0,0,2,2,0,0,3
"478",0,0,2,2,0,0,4
"479",0,20,2,2,0,0,0
"480",0,25,2,2,0,0,0
"481",0,20,2,2,0,0,0
"482",0,20,2,2,0,0,0
"483",1,35,1,2,2,3,0
"484",0,20,2,2,0,0,0
"485",0,0,2,2,0,0,2
"486",0,30,2,2,0,0,0
"487",1,25,1,2,2,3,0
"488",0,0,2,2,0,0,1
"489",0,0,0,0,0,0,0
"490",0,20,2,2,0,0,0
"491",4,45,1,2,2,3,0
"492",0,40,2,2,0,0,0
"493",0,30,2,2,0,0,0
"494",0,35,2,2,0,0,0
"495",0,0,2,2,0,0,3
"496",0,0,2,2,0,0,3
"497",0,0,2,2,0,0,3
"498",0,0,2,2,0,0,1
"499",0,20,2,2,0,0,0
"500",0,30,2,2,0,0,0
"501",0,35,2,2,0,0,0
"502",0,20,2,2,0,0,0
"503",1,60,1,2,2,3,0
