"","p4","p26","p3_1","p3_4","p8_1","p5","p32","edad"
"598",0,20,2,2,0,0,0,58
"599",0,20,2,2,0,0,0,79
"600",0,0,2,2,0,0,5,61
"601",0,30,2,2,0,0,0,25
"602",0,0,2,2,0,0,3,48
"603",0,25,2,2,0,0,0,34
"604",0,0,2,2,0,0,3,38
"605",0,20,2,2,0,0,0,51
"606",0,0,2,2,0,0,2,43
"607",0,20,2,2,0,0,0,46
"608",0,0,2,2,0,0,3,40
"609",0,0,2,2,0,0,3,51
"610",0,0,2,2,0,0,5,62
"611",0,10,2,2,0,0,0,51
"612",0,30,2,2,0,0,0,54
"613",3,30,1,2,2,4,0,21
"614",4,10,1,2,2,2,0,29
"615",0,60,2,2,0,0,0,42
"616",0,0,2,2,0,0,3,24
"617",0,0,2,2,0,0,3,48
"618",0,0,0,0,0,0,0,75
"619",3,15,1,2,2,5,0,39
"620",0,0,2,2,0,0,3,46
"621",0,30,2,2,0,0,0,19
"622",0,0,2,2,0,0,3,45
"623",0,20,2,2,0,0,0,37
"624",3,60,1,2,2,4,0,60
"625",0,0,2,2,0,0,1,23
"626",0,0,2,2,0,0,5,63
"627",0,30,2,2,0,0,0,31
"628",0,0,2,2,0,0,3,29
"629",0,0,2,2,0,0,6,55
"630",0,0,2,2,0,0,3,22
"631",0,0,2,2,0,0,3,32
"632",0,30,2,2,0,0,0,37
"633",0,0,2,2,0,0,2,42
"634",0,0,2,2,0,0,1,63
"635",0,0,2,2,0,0,5,69
"636",0,0,0,0,0,0,0,71
"637",0,0,2,2,0,0,1,30
"638",0,0,2,2,0,0,3,22
"639",0,15,2,2,0,0,0,66
"640",0,0,2,2,0,0,5,32
"641",0,0,2,2,0,0,1,35
"642",0,20,2,2,0,0,0,47
"643",0,0,2,2,0,0,1,57
"644",1,30,1,2,2,5,0,62
"645",0,0,2,2,0,0,3,33
"646",4,45,1,2,2,4,0,58
"647",0,30,2,2,0,0,0,54
"648",0,30,2,2,0,0,0,43
"649",0,0,2,2,0,0,1,54
"650",0,0,2,2,0,0,1,63
"651",0,0,2,2,0,0,1,49
"652",0,15,2,2,0,0,0,22
"653",0,0,2,2,0,0,1,31
"654",0,0,2,2,0,0,2,60
"655",0,0,2,2,0,0,5,67
"656",0,0,2,2,0,0,3,26
"657",0,0,2,2,0,0,1,40
"658",6,120,1,2,1,3,0,19
"659",5,60,1,1,2,4,0,25
"660",0,0,2,2,0,0,1,45
"661",0,15,2,2,0,0,0,27
"662",0,0,2,2,0,0,3,23
"663",2,30,1,2,2,4,0,34
"664",0,20,2,2,0,0,0,61
"665",1,25,1,2,2,6,0,48
"666",0,45,2,2,0,0,0,31
"667",3,60,1,2,2,1,0,27
"668",0,30,2,2,0,0,0,53
"669",0,20,2,2,0,0,0,32
"670",0,0,2,2,0,0,3,45
"671",2,45,1,2,2,4,0,40
"672",2,20,1,1,2,1,0,34
"673",0,0,2,2,0,0,3,21
"674",0,20,2,2,0,0,0,43
"675",0,0,2,2,0,0,2,66
"676",0,0,2,2,0,0,3,31
"677",2,20,1,2,2,4,0,23
"678",0,0,2,2,0,0,3,44
"679",2,30,1,2,2,5,0,51
"680",3,30,1,2,2,5,0,59
"681",0,30,2,2,0,0,0,51
"682",0,0,2,2,0,0,1,62
"683",0,30,2,2,0,0,0,51
"684",0,0,2,2,0,0,1,19
"685",0,0,2,2,0,0,3,27
"686",0,35,2,2,0,0,0,71
"687",0,25,2,2,0,0,0,41
"688",0,10,2,2,0,0,0,42
"689",0,30,2,2,0,0,0,44
"690",0,0,2,2,0,0,3,30
"691",0,15,2,2,0,0,0,66
"692",0,0,2,2,0,0,1,59
"693",2,40,1,2,2,4,0,56
"694",0,30,2,2,0,0,0,30
"695",2,30,1,2,2,3,0,49
"696",2,40,1,2,2,4,0,56
"697",0,20,2,2,0,0,0,58
"698",0,0,2,2,0,0,3,60
"699",0,0,2,2,0,0,5,73
"700",0,20,2,2,0,0,0,48
"701",0,0,0,0,0,0,0,78
"702",0,45,2,2,0,0,0,42
"703",1,60,1,2,2,4,0,38
"704",3,60,1,2,2,2,0,25
"705",0,25,2,2,0,0,0,42
"706",0,0,0,0,0,0,0,54
"707",0,15,2,2,0,0,0,64
"708",2,45,1,2,2,5,0,66
"709",0,0,0,0,0,0,0,79
"710",0,40,2,2,0,0,0,43
"711",0,0,2,2,0,0,3,28
"712",0,15,2,2,0,0,0,29
"713",0,30,2,2,0,0,0,27
"714",0,0,2,2,0,0,2,61
"715",3,30,1,2,2,2,0,18
"716",1,40,1,2,2,4,0,63
"717",0,0,0,0,0,0,0,25
"718",0,15,2,2,0,0,0,51
"719",0,0,0,0,0,0,0,71
"720",0,35,2,2,0,0,0,32
"721",0,0,2,2,0,0,1,46
"722",0,15,2,2,0,0,0,55
"723",0,0,0,0,0,0,0,74
"724",0,20,2,2,0,0,0,32
"725",1,60,1,2,2,5,0,71
"726",0,0,2,2,0,0,2,29
"727",0,0,2,2,0,0,3,48
"728",0,0,2,2,0,0,2,31
"729",6,60,1,2,1,2,0,21
